C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Sep-t0-1,Sep-t0-2,Sep-t0-3,Sep-t1-1,Sep-t1-2,Sep-t1-3,Sep-t1-UF-R,Sep-t1-UF-S,Oct-t0-1,Oct-t0-2,Oct-t0-3,Oct-t1-1,Oct-t1-2,Oct-t1-3,Oct-t1-UF-R,Oct-t1-UF-S,Dec-t0-1,Dec-t0-2,Dec-t0-3,Dec-t1-1,Dec-t1-2,Dec-t1-3,Dec-t1-UF-R,Dec-t1-UF-S,Feb-t0-1,Feb-t0-2,Feb-t0-3,Feb-t1-1,Feb-t1-2,Feb-t1-3,Feb-t1-UF-R,Feb-t1-UF-S,Oct-MQ-1,Oct-MQ-2,Oct-MQ-3,Jan-MQ-A,Jan-MQ-B,Jan-MQ-C,Mar-MQ-A,Mar-MQ-B,Mar-MQ-C,may-MQ-A,may-MQ-B,may-MQ-C,jul-MQ-A,jul-MQ-B,jul-MQ-C,PLFA-1,PLFA-3
8,12,7,0,0,0,0,0,0,0,219.051026,1.5,0.875,218.806431,219,0.193568632,3,-4,0.0889787664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550.61138,0,0,0,0,0,0,0
12,12,4,0,0,0,0,0,0,0,219.066282,1,0.333333333,218.821671,219,0.178329467,7,3,0.13346815,0.5,0,0,438.250508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,3,0,0,0,0,0,0,0,219.102667,1.23076923,0.230769231,218.858015,219,0.141984696,6,3,0.144590495,0.391304348,0,0,318.874117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630.70236,0,3990.69307,1295.49628,1532.3473,1630.10962,2592.59942,0,4517.30831,0,0
10,6,6,0,0,0,0,0,0,0,221.009161,0.6,0.6,220.76238,221,0.237619704,8,2,0.111223458,0.714285714,0,0,297.887432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,5,0,0,0,0,0,0,0,221.045547,0.909090909,0.454545455,220.798725,221,0.201274932,7,2,0.122345804,0.529411765,0,0,624.077152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,4,0,0,0,0,0,0,0,221.081932,1.16666667,0.333333333,220.83507,221,0.16493016,6,2,0.13346815,0.4,0,0,795.473627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554.81347,0,0,0,0,0,0,0,0,1604.65516,2151.179,0,0,0,0,0,0
9,18,6,0,0,0,0,0,0,0,221.103061,2,0.666666667,220.856175,221,0.143824553,1,-5,0.100101112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18,3,0,0,0,0,0,0,0,221.118317,1.38461538,0.230769231,220.871415,221,0.128585388,5,2,0.144590495,0.304347826,0,0,270.601476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,22,2,0,0,0,0,0,0,0,221.154703,1.57142857,0.142857143,220.907759,221,0.0922406167,4,2,0.155712841,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,404.22627,296.990914,283.395372,340.675694,687.251769,631.002111,0,751.71231,443.549102,344.478334,0,324.889307,0,287.753131,0,0,415.137003,686.678138,685.58044,566.618307,5456.48801,9737.24979,0,5780.50287,6184.53437,5949.52335,0,6439.02468,0,5805.04614,8606.2916,9960.61306,8504.29673,6983.4884,14670.582,459.849167,834.946063
10,8,6,0,0,0,0,0,0,0,223.024811,0.8,0.6,222.77578,223,0.224220396,7,1,0.111223458,0.571428571,0,0,773.372939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,5,0,0,0,0,0,0,0,223.061196,1.09090909,0.454545455,222.812124,223,0.187875625,6,1,0.122345804,0.411764706,0,0,775.700905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16,4,0,0,0,0,0,0,0,223.097582,1.33333333,0.333333333,222.848469,223,0.151530853,5,1,0.13346815,0.3,0,0,742.146191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703.33329,0,0,0,1632.39738,1823.51527,0,1886.02978,2264.53236,2304.70035,2477.09225,0,0,1671.77848,0,0
13,20,3,0,0,0,0,0,0,0,223.133967,1.53846154,0.230769231,222.884814,223,0.115186081,4,1,0.144590495,0.217391304,0,0,283.041539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427.69529,1835.61195,0,0,2225.66956,2403.75722,0,0
9,6,7,0,0,0,0,0,0,0,225.004076,0.666666667,0.777777778,224.752834,225,0.247165861,7,0,0.100101112,0.636363636,0,0,357.99403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,6,0,0,0,0,0,0,0,225.040461,1,0.6,224.789179,225,0.210821089,6,0,0.111223458,0.428571429,0,0,484.318307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,6,0,1,0,0,0,0,0,225.043832,2,0.857142857,224.792546,225,0.207453853,1,-5,0.0778564206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4072.68347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,5,0,0,0,0,0,0,0,225.076847,1.27272727,0.454545455,224.825524,225,0.174476318,5,0,0.122345804,0.294117647,0,0,1177.50494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.25313,1523.52554,1591.19244,0,0,0,0,0
12,18,4,0,0,0,0,0,0,0,225.113232,1.5,0.333333333,224.861868,225,0.138131546,4,0,0.13346815,0.2,0,0,659.182253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048.54081,2125.44766,0,1653.59879,1745.34272,1683.08772,1870.10249,1812.87793,2119.91161,1686.99798,2167.83381,2090.8175,0,0,2080.92338,0,0
13,22,3,0,0,0,0,0,0,0,225.149617,1.69230769,0.230769231,224.898213,225,0.101786774,3,0,0.144590495,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540.81746,0,0,0,0,0,0
9,8,7,0,0,0,0,0,0,0,227.019726,0.888888889,0.777777778,226.766233,227,0.233766554,6,-1,0.100101112,0.454545455,0,0,0,0,0,0,0,0,0,0,227.126258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,6,2,0,0,0,0,0,0,227.030959,1,0.75,226.777454,227,0.222545697,4,-2,0.0889787664,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.080989,0
10,12,4,0,1,0,0,0,0,0,227.038353,1.2,0.4,226.78484,227,0.215160153,5,1,0.111223458,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959.055,4037.76491,2272.39503,0,0
10,12,6,0,0,0,0,0,0,0,227.056111,1.2,0.6,226.802578,227,0.197421782,5,-1,0.111223458,0.285714286,0,0,1008.02302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,16,5,0,0,0,0,0,0,0,227.092497,1.45454545,0.454545455,226.838923,227,0.16107701,4,-1,0.122345804,0.176470588,0,0,1950.35083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968.33277,4872.50257,6156.00922,4722.74463,4030.62826,3990.23338,4363.34401,4035.84781,4530.01898,3568.56191,5170.63468,4897.95301,4889.78526,4766.43992,6200.08019,0,0
12,20,4,0,0,0,0,0,0,0,227.128882,1.66666667,0.333333333,226.875268,227,0.124732239,3,-1,0.13346815,0.1,799.479339,0,640.150172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045.1526,1718.02885,0,0,1892.86504,1889.09819,2142.07951,0,2618.51917,2032.02499,2598.50415,2597.83274,2403.72571,2332.94494,2560.94219,0,0
13,24,3,0,0,0,0,0,0,0,227.165267,1.84615385,0.230769231,226.911613,227,0.0883874669,2,-1,0.144590495,0.0434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4365278,0,226.444366,315.525073,439.377738,216.669025,216.671456,0,0,4289.01377,0,0,0,1898.72852,2767.43431,2700.55907,1894.36695,2821.34893,2564.36441,3261.13273,2692.44476,3713.18954,192.297193,380.111675
9,11,6,1,0,0,0,0,0,0,228.05136,1.22222222,0.666666667,227.796716,228,0.203284086,4,-2,0.100101112,0.2,0,0,0,0,0,0,0,0,0,0,169.922215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.430674,0
12,23,3,1,0,0,0,0,0,0,228.160516,1.91666667,0.25,227.90575,228,0.0942497708,1,-2,0.13346815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20444.703,7782.08688,0,9084.4309,5615.17559,4812.42786,0,0,0,0,0,0,0,0
